motivation_seeking_class,prior_participation_open_house,prior_participation_instant_decision,prior_participation_oncampus_session,prior_participation_virtual_session,prior_participation_women_dare,prior_participation_regional_fair,extent_school_computing_class,extent_school_computing_club,extent_computing_competitions,extent_afterschool_computing,extent_summer_computing_camp,extent_ap_computing,extent_dual_enrollment,extent_family_friend,extent_family_friend_computing,extent_teacher_counselor,extent_employer,hear_about_ccm,new_class_interest,new_class_interest_specific
It’s a required class for the degree I’m seeking;Personal Enrichment,No,No,Yes,No,No,No,Some Impact,,No Impact,,,,,No Impact,No Impact,No Impact,No Impact,Billboard;Family member or friend;Current student;High School,3,Computer Programming;Game Design
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Family member or friend;High School,4,CyberSecurity;Data Analytics
It’s a required class for the degree I’m seeking;To keep current in computing skills,No,No,No,Yes,No,No,,,,,,,,,,,,Family member or friend;Current student;Alumni;High School,4,CyberSecurity;Computer Programming
It’s a required class for the degree I’m seeking,No,No,Yes,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,High School,3,Computer Programming
It’s a required class for the degree I’m seeking,Yes,No,Yes,Not Sure,No,Not Sure,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,High School,4,CyberSecurity
It’s a required class for the degree I’m seeking;To keep current in computing skills;Career Advancement,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Family member or friend,2,
It’s a required class for the degree I’m seeking;To keep current in computing skills;Professional Development;Personal Enrichment,No,No,No,No,No,No,,,,,,,,High Impact,,,High Impact,Family member or friend;Employer;Current student,3,App Development
It’s a required class for the degree I’m seeking;To keep current in computing skills;Career Change;Professional Development,No,Yes,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,Family member or friend;Current student;Alumni;High School,3,CyberSecurity;Data Analytics
It’s a required class for the degree I’m seeking;To keep current in computing skills,No,No,No,No,No,No,,,,,,,,High Impact,,,High Impact,Family member or friend;Employer;Current student,3,Data Analytics
It’s a required class for the degree I’m seeking;Career Advancement,Yes,Yes,Not Sure,Not Sure,Not Sure,Yes,,,,,,,,,,,,Family member or friend;Current student;High School,5,
It’s a required class for the degree I’m seeking;Curiosity,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Web site;Family member or friend;Alumni,2,
It’s a required class for the degree I’m seeking;To keep current in computing skills;Career Advancement;Personal Enrichment,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Some Impact,No Impact,Family member or friend;Employer;Current student;High School,3,
Curiosity,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,High School,3,
It’s a required class for the degree I’m seeking,No,Yes,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Family member or friend;Current student;Alumni;High School,3,CyberSecurity;Data Analytics
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,,,,,,,,,,,,Social Media;Family member or friend;High School,2,
It’s a required class for the degree I’m seeking,No,No,No,Yes,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,former student ,2,
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,,,,,,,,,,,,Family member or friend;High School,3,
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,Family member or friend;Alumni,2,
It’s a required class for the degree I’m seeking,Yes,No,Yes,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Web site;Family member or friend;High School,2,
It’s a required class for the degree I’m seeking,Yes,No,Yes,Not Sure,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,Family member or friend;Current student;High School,2,
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,,,,,,,,,,,,Baseball coach recruit,1,
It’s a required class for the degree I’m seeking,No,No,Yes,No,No,Yes,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,Billboard;Community Event;Family member or friend;Current student;Alumni;High School,2,Computer Programming
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Community Event;High School,2,
It’s a required class for the degree I’m seeking,Not Sure,Not Sure,No,No,No,No,Some Impact,,High Impact,,,,,,,,,Web site;Billboard;Social Media;Family member or friend;High School,3,Game Design
Career Advancement;Career Change,No,No,No,Yes,No,No,Some Impact,No Impact,No Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,High Impact,High Impact,Family member or friend,3,Data Analytics
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Web site;Billboard;High School,4,Game Design
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,High Impact,,,,,,,High Impact,Some Impact,Some Impact,Some Impact,High School,4,Game Design;Hardware Installation & Repair
To keep current in computing skills;Career Change;Curiosity,No,No,No,Yes,No,Not Sure,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,Web site;Social Media;Community Event;Family member or friend;High School,4,App Development;Data Analytics;Machine Learning/Artificial Intelligence;Computer Programming
It’s a required class for the degree I’m seeking,No,No,No,Yes,No,No,Some Impact,Some Impact,No Impact,No Impact,No Impact,,,No Impact,,Some Impact,No Impact,Current student;High School,1,App Development;Game Design
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,,,,,,,,,,,,High School,1,
It’s a required class for the degree I’m seeking;To keep current in computing skills;Financial;Curiosity,Not Sure,No,Not Sure,Not Sure,No,No,Some Impact,,,,,Some Impact,,Some Impact,High Impact,,,Web site;Family member or friend;Employer;High School;Nearest College,4,CyberSecurity;Data Analytics;Game Design;Hardware Installation & Repair
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,Some Impact,,,,,,,,,,,Current student;High School,1,Game Design
It’s a required class for the degree I’m seeking;To keep current in computing skills;Career Advancement,Yes,No,Yes,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,Web site;Billboard;Social Media;Community Event;Family member or friend;Current student;Alumni,2,
It’s a required class for the degree I’m seeking,No,No,No,Yes,No,No,,,,,,,,,,Some Impact,,Family member or friend;High School,2,
To keep current in computing skills;Professional Development,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Web site;Social Media;Community Event;Family member or friend;Current student;High School,2,Game Design
It’s a required class for the degree I’m seeking,Yes,No,Yes,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Current student;High School,3,
It’s a required class for the degree I’m seeking,Yes,No,Not Sure,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Billboard;Social Media;Family member or friend;Current student;High School,3,App Development;Machine Learning/Artificial Intelligence
It’s a required class for the degree I’m seeking,Yes,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Some Impact,No Impact,Billboard;Radio;Community Event;Current student,2,CyberSecurity
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Family member or friend,1,
Professional Development;prerequisite,No,No,No,No,No,No,,,,,,,,,,,,Web site,1,CyberSecurity
It’s a required class for the degree I’m seeking;To keep current in computing skills;Personal Enrichment,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,Family member or friend;Current student;High School,3,CyberSecurity;App Development;Machine Learning/Artificial Intelligence;Computer Programming;Game Design;Hardware Installation & Repair
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,Some Impact,,,,,,,No Impact,,No Impact,No Impact,Web site;Social Media;Family member or friend,2,
It’s a required class for the degree I’m seeking,No,No,Yes,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Social Media;Community Event;Family member or friend;Employer;High School,1,CyberSecurity;Game Design
It’s a required class for the degree I’m seeking,Yes,Yes,No,No,Not Sure,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Family member or friend;Current student;Alumni;High School,3,Game Design
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,,,,,,,,,,,,High School,1,
To keep current in computing skills,No,No,No,No,No,No,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,Web site;Family member or friend,5,Web Development;CyberSecurity;App Development;Data Analytics;Computer Programming
To keep current in computing skills;Curiosity,No,No,No,No,No,No,Some Impact,No Impact,,,,,,Some Impact,Some Impact,Some Impact,,Web site;Family member or friend,3,Web Development;CyberSecurity;Computer Programming;Hardware Installation & Repair
It’s a required class for the degree I’m seeking,Yes,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Family member or friend;High School,3,Data Analytics
To keep current in computing skills,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,Family member or friend,1,
It’s a required class for the degree I’m seeking,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High School,3,Web Development
It’s a required class for the degree I’m seeking;Professional Development;Curiosity,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Current student,5,Hardware Installation & Repair
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High School,2,
It’s a required class for the degree I’m seeking;Career Advancement,No,No,No,No,No,No,Some Impact,,,,,,,Some Impact,Some Impact,,,Billboard;Family member or friend,3,CyberSecurity;Data Analytics
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,Some Impact,,,,,,,,,,,Family member or friend;High School,2,
It’s a required class for the degree I’m seeking,No,Not Sure,No,Yes,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Web site;Social Media;Family member or friend;Employer;High School,3,CyberSecurity;App Development;Game Design
It’s a required class for the degree I’m seeking,No,No,No,No,No,Yes,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,High School,3,Computer Programming
It’s a required class for the degree I’m seeking;To keep current in computing skills,No,No,No,No,No,No,,,,,,,,,,,,Web site;Family member or friend;Current student,3,Game Design
It’s a required class for the degree I’m seeking;Career Advancement,Yes,No,No,Not Sure,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,Family member or friend;Current student;High School,2,Web Development;Game Design
It’s a required class for the degree I’m seeking,Yes,Yes,No,Yes,No,Yes,,,,,,,,,,,,Community Event;Family member or friend;High School,3,Web Development
It’s a required class for the degree I’m seeking;Professional Development,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Web site;Billboard;Social Media;Community Event;Family member or friend;Current student;Alumni;High School,2,App Development;Data Analytics;Computer Programming
It’s a required class for the degree I’m seeking;Career Advancement;Personal Enrichment,Yes,No,Yes,Yes,No,No,Some Impact,Some Impact,Some Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,Web site;Social Media;High School,5,Data Analytics
To keep current in computing skills;Career Advancement;Professional Development;Financial;Personal Enrichment;Curiosity,No,No,No,No,No,Not Sure,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Family member or friend;Current student;High School,5,CyberSecurity;Data Analytics;Machine Learning/Artificial Intelligence;Computer Programming;Game Design;Hardware Installation & Repair
It’s a required class for the degree I’m seeking;To keep current in computing skills;Curiosity,Yes,No,Yes,No,No,Yes,No Impact,High Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Some Impact,No Impact,High Impact,High Impact,High School,5,Machine Learning/Artificial Intelligence;Computer Programming;Game Design
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Family member or friend;High School,2,Web Development;Hardware Installation & Repair
It’s a required class for the degree I’m seeking,No,Yes,No,No,No,Not Sure,Some Impact,No Impact,,,,,,,,,,Current student;Alumni;High School,3,
It’s a required class for the degree I’m seeking;To keep current in computing skills;Personal Enrichment,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Family member or friend,4,CyberSecurity;App Development;Data Analytics;Machine Learning/Artificial Intelligence
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,,No Impact,Family member or friend;Current student;Alumni;High School,3,Data Analytics;Computer Programming;Hardware Installation & Repair
It’s a required class for the degree I’m seeking;Curiosity,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Current student;High School,3,Web Development;CyberSecurity;Computer Programming
It’s a required class for the degree I’m seeking,Yes,No,No,No,Yes,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,High School,3,App Development;Computer Programming
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,Some Impact,,Some Impact,Some Impact,,,,No Impact,,,,Web site;Social Media;Family member or friend;Current student;Alumni;High School,3,Game Design
It’s a required class for the degree I’m seeking;To keep current in computing skills,No,No,No,No,No,No,,,,,,,,,,High Impact,High Impact,Web site;Family member or friend;High School,5,CyberSecurity;Machine Learning/Artificial Intelligence;Computer Programming;Hardware Installation & Repair
It’s a required class for the degree I’m seeking,No,Yes,No,Yes,No,No,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Web site;High School,3,Machine Learning/Artificial Intelligence
It’s a required class for the degree I’m seeking,Yes,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,,,,,,,,Some Impact,,,,Family member or friend;Current student,1,Web Development
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High School,3,CyberSecurity;Data Analytics;Machine Learning/Artificial Intelligence;Game Design
It’s a required class for the degree I’m seeking,No,No,No,Yes,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Family member or friend;Alumni;High School,2,
It’s a required class for the degree I’m seeking;Career Advancement,No,No,No,No,No,No,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,High School,2,
It’s a required class for the degree I’m seeking;Career Advancement,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Web site;High School,2,
It’s a required class for the degree I’m seeking,No,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Family member or friend;Current student,1,
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,,,,,,High School,3,CyberSecurity;Game Design
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,Some Impact,,,,,,,,,,,Social Media;High School,1,
To keep current in computing skills;Personal Enrichment;Curiosity,No,No,No,No,No,No,High Impact,,,,,,,High Impact,,,,Family member or friend;Alumni;High School;local,4,Web Development;CyberSecurity;App Development;Data Analytics;Machine Learning/Artificial Intelligence;Computer Programming;Hardware Installation & Repair
It’s a required class for the degree I’m seeking,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,,,,,,,,,,,,High School,4,Web Development;Computer Programming
It’s a required class for the degree I’m seeking;To keep current in computing skills;Career Advancement,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Therapist ,4,Web Development;App Development
