motivation_seeking_class,prior_participation_open_house,prior_participation_instant_decision,prior_participation_oncampus_session,prior_participation_virtual_session,prior_participation_women_dare,prior_participation_regional_fair,extent_school_computing_class,extent_school_computing_club,extent_computing_competitions,extent_afterschool_computing,extent_summer_computing_camp,extent_ap_computing,extent_dual_enrollment,extent_family_friend,extent_family_friend_computing,extent_teacher_counselor,extent_employer,hear_about_ccm,new_class_interest,new_class_interest_specific
It’s a required class for the degree I’m seeking,Yes,No,No,Yes,No,Not Sure,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Web site;Social Media;Family member or friend;Current student;Alumni;High School,2,Game Design
It’s a required class for the degree I’m seeking,No,No,Yes,Yes,No,Yes,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Web site,3,Hardware Installation & Repair
It’s a required class for the degree I’m seeking;Curiosity,No,No,Yes,No,No,No,Some Impact,,Some Impact,,,,,,,,,Web site;Billboard;Social Media;Family member or friend,3,CyberSecurity;App Development;Hardware Installation & Repair
advisor told me to take it,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Current student;High School,2,
It’s a required class for the degree I’m seeking;Career Change,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High School,1,
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Current student,1,
It’s a required class for the degree I’m seeking;Career Change,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High School,1,
It’s a required class for the degree I’m seeking,Yes,Yes,No,Yes,No,No,,,,,,,,,Some Impact,High Impact,High Impact,Family member or friend;High School,1,Game Design
It’s a required class for the degree I’m seeking,Yes,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Family member or friend;High School,2,
It’s a required class for the degree I’m seeking,Yes,No,No,Yes,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Web site;Billboard;Social Media;Community Event;Family member or friend;High School,3,
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,,,,,,,High School,2,Game Design
It’s a required class for the degree I’m seeking;To keep current in computing skills;Career Advancement;Personal Enrichment;Curiosity,Yes,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Family member or friend;Current student;High School,3,Web Development;App Development;Data Analytics;Computer Programming
It’s a required class for the degree I’m seeking,Not Sure,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,High School,1,
It’s a required class for the degree I’m seeking;To keep current in computing skills;Career Change;Professional Development,No,No,No,Yes,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,Web site;Billboard;Social Media;Family member or friend;Current student;Alumni,3,CyberSecurity;Computer Programming;Hardware Installation & Repair
It’s a required class for the degree I’m seeking;My sister took this class and she really enjoyed it so she recommended and encouraged me to take it!,Yes,No,No,No,No,No,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,Family member or friend,4,Web Development;App Development
It’s a required class for the degree I’m seeking;To keep current in computing skills;Personal Enrichment,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Web site;Social Media;Family member or friend;Current student;Alumni;High School,2,
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,,,,,,,,,,,,Family member or friend,3,
It was required that I take the class.,No,No,No,No,No,No,Some Impact,,,,,,,Some Impact,Some Impact,Some Impact,,Family member or friend;Current student;High School,2,
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Billboard;Family member or friend;Current student;Alumni;High School,3,CyberSecurity;Data Analytics;Computer Programming
Personal Enrichment;Curiosity,No,No,No,No,No,No,Some Impact,,,,,,,Some Impact,Some Impact,,,Web site;Billboard;Social Media;Family member or friend;Current student;Alumni;High School,3,Game Design
It’s a required class for the degree I’m seeking,No,No,No,No,No,No,,,,,,,,,,,,Family member or friend,3,Web Development;App Development;Computer Programming;Hardware Installation & Repair
It’s a required class for the degree I’m seeking;To keep current in computing skills,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,No Impact,No Impact,High School,3,CyberSecurity
It’s a required class for the degree I’m seeking,Yes,No,No,Yes,No,No,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Family member or friend,2,Computer Programming
It’s a required class for the degree I’m seeking;To keep current in computing skills;Personal Enrichment;Curiosity,No,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,Family member or friend;Current student;Alumni;High School,2,Data Analytics
